IDCLIENTE;MES;NOTA
7271;2020-01;10
15329;2021-03;9
29251;2020-04;8
17802;2020-04;9
27841;2020-07;10
28981;2020-07;10
29635;2021-04;9
16569;2020-02;10
25156;2019-05;10
7531;2021-02;8
11080;2020-01;9
13048;2021-05;8
8929;2020-06;10
15283;2020-10;10
25410;2019-07;8
10785;2019-04;9
12745;2020-01;8
11126;2020-03;10
14868;2020-07;9
13017;2019-09;9
6767;2019-06;9
21707;2019-06;9
27029;2019-08;10
8598;2020-08;10
12946;2019-06;9
7922;2019-03;10
14872;2019-05;10
14293;2020-07;10
8642;2021-03;10
19550;2019-05;10
25933;2020-09;2
8598;2021-04;10
7988;2020-05;8
24810;2020-10;8
26846;2021-03;10
26760;2021-03;8
12054;2020-05;10
27411;2020-08;10
14308;2020-12;9
12737;2019-09;9
15330;2019-07;9
15219;2020-01;8
8920;2020-06;10
6896;2021-01;9
15261;2020-11;10
24030;2020-01;8
8657;2020-08;8
32270;2020-03;9
32238;2021-05;6
32015;2020-06;8
18914;2021-02;9
11071;2019-08;10
13375;2020-12;9
32429;2020-03;10
17817;2019-01;8
15287;2019-09;8
30742;2019-06;8
27230;2020-07;8
7956;2021-01;8
8662;2020-04;5
26862;2019-08;10
10248;2019-06;8
12054;2021-04;10
18580;2020-03;9
7858;2020-02;8
15579;2021-03;10
13819;2020-10;9
30456;2020-12;10
27161;2019-06;10
8945;2020-03;9
19587;2020-01;9
18189;2020-06;10
12640;2019-12;10
18492;2020-02;10
31640;2020-08;8
24190;2020-01;10
13532;2019-06;10
10282;2019-12;9
11113;2019-04;8
28628;2020-04;10
15955;2019-07;10
16217;2020-09;5
27366;2019-06;8
14765;2020-01;8
11833;2019-02;2
8610;2020-01;10
12708;2020-10;8
13005;2021-01;10
28678;2021-02;10
6795;2019-04;9
30810;2020-08;10
7910;2020-04;8
7679;2019-09;8
25409;2020-08;9
11271;2020-04;10
11600;2019-06;8
11355;2020-07;9
8602;2020-03;9
28628;2019-08;8
16628;2020-10;10
10263;2019-05;9
7964;2021-05;9
11003;2020-08;8
30176;2019-09;10
14743;2019-07;8
10527;2019-07;10
14653;2019-11;8
29687;2019-09;5
6984;2020-06;5
5931;2020-04;8
16320;2020-08;6
14183;2019-08;8
7336;2020-08;8
28218;2020-09;9
14430;2020-10;8
7917;2021-04;10
24532;2020-10;9
13532;2020-10;8
31336;2020-01;8
30805;2020-12;10
11600;2020-07;8
28988;2019-03;1
16041;2019-10;9
12951;2019-05;9
8338;2020-06;8
12951;2021-06;9
16603;2020-01;10
11223;2019-07;10
7887;2019-04;10
11692;2020-11;8
28909;2020-05;10
15046;2019-11;8
26852;2020-12;2
5570;2020-10;10
29566;2020-11;10
27563;2019-11;8
13517;2019-11;9
13537;2019-08;1
26796;2020-03;9
13089;2019-10;10
24809;2021-02;8
30604;2020-10;10
25858;2021-06;5
11457;2020-11;9
13200;2020-11;8
25933;2020-05;8
26330;2021-05;10
8628;2020-08;9
5926;2019-01;10
13824;2019-07;9
30796;2019-11;10
5780;2020-01;8
14571;2019-09;9
7599;2019-09;8
29798;2019-10;8
10310;2019-08;10
27117;2020-09;9
27847;2020-08;8
11457;2020-09;8
26978;2019-06;9
5671;2020-06;8
4834;2019-10;9
29469;2019-11;8
7858;2019-09;9
13245;2020-02;8
21704;2020-06;3
29256;2020-03;9
13240;2020-10;10
31095;2020-12;10
16569;2020-03;9
30194;2020-07;10
30939;2019-12;10
24533;2019-10;8
28500;2019-10;2
7376;2019-02;8
30433;2019-09;8
14762;2020-06;10
8920;2021-02;8
13238;2019-05;9
15350;2019-09;9
10186;2020-06;9
11343;2019-12;8
26237;2019-09;8
7877;2021-04;9
11291;2021-06;9
12137;2019-07;9
13689;2019-06;10
29573;2021-06;8
16174;2020-11;8
6344;2021-01;10
13301;2021-03;9
16768;2020-06;8
32346;2020-01;9
30002;2019-07;8
14470;2020-01;8
14115;2021-02;10
15978;2020-06;7
31058;2019-07;10
12695;2020-04;1
21639;2020-02;8
24524;2019-09;9
7367;2020-01;9
8940;2019-03;9
7838;2020-12;3
7531;2021-06;10
7606;2021-04;8
13436;2020-04;9
32358;2020-09;10
8609;2019-09;8
14521;2020-12;9
30782;2019-04;9
12708;2019-06;9
10265;2020-05;6
27601;2019-08;8
10568;2019-07;10
27518;2019-09;10
30043;2019-07;8
11591;2021-03;10
30858;2020-10;9
28822;2020-01;8
13689;2021-05;10
16090;2020-12;8
11618;2019-03;9
15751;2020-02;8
30176;2019-05;8
27553;2020-11;9
18492;2021-04;10
28847;2019-05;10
14282;2019-06;9
32303;2019-04;8
8622;2020-05;9
15024;2019-06;6
15054;2019-11;8
8405;2020-12;9
14499;2020-07;8
10248;2021-02;9
16419;2020-03;8
26789;2019-10;10
6286;2019-05;8
16642;2020-01;9
11348;2019-08;8
10730;2020-10;8
26684;2019-10;10
11694;2019-08;10
30822;2020-06;10
20648;2021-06;8
14204;2019-09;10
26767;2019-08;10
31169;2019-10;9
13991;2019-11;8
15147;2020-06;9
10680;2021-05;10
8564;2020-01;8
14801;2020-03;10
14115;2021-06;8
29542;2021-03;9
26207;2020-06;10
15342;2020-11;9
15521;2019-04;9
13728;2019-09;8
6896;2019-02;9
31340;2019-12;8
5780;2019-06;6
8294;2021-01;8
31157;2021-05;9
7408;2019-10;8
11906;2021-06;8
15890;2019-08;9
12361;2019-11;9
12953;2021-06;4
10928;2020-12;8
6158;2019-04;9
31095;2021-01;7
16399;2019-05;8
12107;2019-08;10
32390;2021-05;10
16768;2020-05;8
15984;2019-10;10
30992;2019-11;6
27865;2019-05;10
11340;2020-03;10
25443;2020-01;10
30143;2019-07;5
13104;2020-01;8
13672;2019-12;8
10378;2019-08;9
16420;2021-03;10
21077;2020-03;9
16779;2019-10;8
5842;2019-03;9
28568;2019-11;9
32154;2019-04;10
8586;2019-10;9
13599;2019-07;8
24367;2019-05;10
14034;2020-01;8
27844;2021-03;10
21261;2021-03;8
25727;2019-09;10
30320;2019-05;9
10246;2019-07;9
27844;2019-02;8
14385;2020-11;9
11029;2021-03;8
32270;2020-08;3
14759;2019-11;9
29600;2020-01;9
25419;2021-05;9
18443;2019-01;9
10259;2019-09;10
20976;2019-04;10
13671;2020-02;9
20942;2020-12;10
6044;2020-04;7
6438;2021-03;9
4764;2020-05;8
6044;2021-05;9
6156;2020-06;8
28845;2020-04;10
8653;2020-01;10
14004;2019-07;8
27286;2019-09;8
11802;2019-05;9
11188;2019-10;9
7561;2020-09;9
27032;2021-01;3
28845;2019-11;3
29044;2019-05;9
12654;2020-01;8
18236;2019-05;9
6530;2021-02;10
11709;2020-03;9
21902;2021-03;8
10940;2021-02;8
12163;2019-11;8
19649;2021-05;4
11282;2020-01;7
10519;2019-07;9
14740;2020-11;10
20648;2021-04;9
31990;2019-06;9
24956;2020-03;10
12375;2020-12;6
25443;2020-04;10
13894;2021-01;9
5666;2020-05;8
8602;2020-07;9
14195;2020-05;3
12507;2020-05;9
8840;2020-08;9
12136;2020-06;9
8294;2019-10;9
11366;2020-08;9
14762;2020-05;6
13599;2019-05;8
13388;2019-05;8
15287;2020-11;9
12015;2020-06;8
14251;2020-03;1
14789;2019-12;10
30599;2020-10;10
12137;2020-09;10
12146;2021-04;10
10852;2020-11;8
12538;2020-01;7
26852;2020-06;8
19550;2019-08;6
5770;2019-04;10
11980;2020-05;9
10785;2021-04;8
30484;2021-06;10
25379;2020-01;5
5675;2019-03;10
14435;2020-11;8
24014;2019-07;9
6298;2020-04;8
7565;2020-04;10
15330;2019-02;10
7378;2020-07;8
13538;2019-12;9
16218;2020-05;9
14563;2020-06;10
10336;2020-09;10
20887;2019-03;8
13890;2019-09;9
11211;2019-05;8
7372;2020-05;9
5666;2021-01;6
18914;2020-02;9
15433;2021-01;9
29508;2021-03;10
7882;2019-04;10
16458;2019-11;10
31336;2020-02;9
11615;2020-09;8
11201;2019-08;1
28421;2021-01;10
16270;2020-06;9
26393;2019-08;10
12518;2021-02;8
25929;2019-05;8
7548;2019-12;8
13305;2019-11;4
11080;2020-09;8
32390;2019-09;5
14314;2019-08;10
7857;2020-04;9
29419;2019-04;8
8966;2020-07;10
7573;2020-08;9
18979;2020-10;8
20781;2019-04;8
10465;2020-09;10
29395;2020-08;8
16010;2020-12;9
27950;2021-03;8
14898;2019-01;9
13563;2019-04;9
12951;2020-08;8
14213;2019-08;10
7859;2019-06;8
7989;2020-01;10
27785;2021-01;10
14435;2021-01;8
20251;2021-05;8
11591;2019-04;10
30812;2020-08;9
30992;2020-07;2
30270;2019-06;9
24525;2019-11;8
7495;2019-06;8
18580;2020-04;8
26751;2020-03;10
14836;2019-08;10
25932;2019-10;9
14311;2019-12;9
11355;2021-02;4
21704;2019-06;8
14496;2019-09;10
26765;2021-02;8
13820;2020-04;9
7448;2021-02;9
15548;2021-03;9
30909;2020-06;9
24014;2019-06;10
7833;2019-07;8
15481;2021-06;10
13134;2019-08;10
1584;2020-05;8
12951;2019-12;8
27841;2020-09;8
13479;2020-12;10
3008;2019-09;8
25443;2020-07;8
13097;2020-09;10
16642;2020-06;10
32068;2019-08;9
8625;2020-06;8
14553;2020-11;8
10805;2020-01;10
28886;2021-02;10
23362;2019-08;9
7372;2019-04;9
18926;2020-09;8
30992;2021-02;10
15219;2020-05;8
12830;2021-06;9
18443;2019-02;5
30253;2019-11;1
13160;2020-02;9
15980;2021-01;10
15571;2020-08;10
31388;2019-12;8
12015;2020-09;8
7573;2019-03;9
21959;2020-01;9
10680;2019-08;8
31291;2020-12;9
18346;2020-04;5
13990;2021-06;10
29469;2019-07;8
29743;2020-02;8
14762;2020-04;10
29635;2020-11;10
8338;2020-01;8
16569;2020-06;10
29375;2021-06;8
10395;2019-04;9
15565;2019-03;9
12971;2020-12;6
12175;2020-07;8
16473;2021-06;8
15934;2019-10;9
8179;2020-11;4
21874;2019-09;9
29347;2019-09;10
27490;2019-01;2
18189;2021-04;10
7887;2021-05;8
14286;2021-04;8
6578;2019-07;6
28474;2021-03;8
12326;2021-03;7
21241;2020-11;9
10055;2019-02;8
5990;2021-01;9
14187;2020-05;9
25858;2020-12;10
28461;2020-10;1
11113;2019-05;6
10527;2020-01;8
6767;2019-09;10
5083;2021-04;6
29641;2019-10;9
14112;2021-03;8
11463;2019-06;8
13444;2020-04;10
12161;2020-01;10
12868;2019-04;9
7795;2019-12;8
24452;2019-02;9
10943;2020-06;9
19033;2020-10;10
10996;2019-12;8
11213;2020-11;8
24950;2020-09;8
16090;2020-02;8
12936;2019-05;9
5079;2020-09;9
14558;2020-11;10
25379;2019-06;10
15980;2020-01;9
21760;2019-10;9
11048;2020-05;8
15291;2019-04;9
14371;2019-12;8
13022;2019-09;9
27037;2021-05;9
25409;2019-01;10
7468;2019-05;9
5079;2021-04;8
11122;2020-06;8
15233;2020-09;9
26048;2021-04;10
26086;2019-12;8
28161;2020-10;9
8619;2020-04;10
8553;2020-08;9
26684;2021-05;9
8681;2021-01;9
7988;2019-04;8
27042;2021-02;2
7336;2019-04;8
10075;2019-10;7
13240;2019-10;8
26048;2020-06;8
11890;2021-06;10
29442;2020-05;10
13017;2019-05;9
21209;2019-12;8
29542;2020-03;10
32013;2019-08;10
30750;2019-07;8
29462;2019-10;8
12486;2021-01;8
1504;2019-01;9
13608;2019-04;9
5305;2020-12;9
19873;2019-06;10
7367;2019-05;8
26939;2020-11;9
8553;2019-06;10
30877;2019-03;10
12756;2021-01;10
26042;2020-04;8
12642;2020-08;8
15421;2019-04;9
7638;2021-06;8
7795;2019-11;8
27844;2021-01;3
12486;2019-11;5
19177;2019-06;8
21695;2020-03;9
6126;2020-10;9
7833;2019-11;9
15068;2020-03;8
30196;2019-07;5
16212;2020-10;10
29256;2021-03;8
24030;2019-02;8
5671;2019-08;8
14251;2020-08;8
12348;2019-08;10
18346;2019-08;9
24224;2019-12;9
21237;2019-09;9
25785;2021-01;9
19873;2020-10;8
13436;2019-04;9
11213;2019-02;9
10786;2019-09;8
29302;2021-06;2
11134;2021-02;10
10295;2021-04;8
30870;2019-06;8
12718;2021-03;8
7965;2020-10;8
27050;2020-11;9
11984;2020-05;10
14571;2021-06;8
25171;2019-08;10
13623;2020-03;8
14344;2019-07;10
7296;2019-03;10
29039;2021-01;9
14311;2019-06;9
29125;2020-01;8
8944;2021-05;8
15237;2019-08;10
11896;2020-04;9
30196;2020-06;9
16069;2020-05;10
7763;2020-05;10
14535;2021-06;9
12359;2019-09;4
19141;2020-10;8
12520;2019-05;9
15087;2019-04;9
29640;2020-10;10
14244;2020-07;9
29743;2019-03;8
21959;2020-02;9
11282;2020-02;10
27066;2019-12;10
13532;2020-05;10
7364;2019-03;10
7988;2020-08;10
11591;2020-01;9
19210;2020-11;8
13778;2020-01;9
29913;2020-06;8
15536;2020-08;9
28563;2020-09;8
30183;2021-04;10
11674;2020-04;8
14301;2020-08;7
7374;2019-04;8
5573;2019-07;8
7965;2019-09;4
8241;2021-04;8
30347;2019-10;8
6865;2021-03;8
13894;2020-04;8
16547;2020-06;9
30043;2020-07;10
29357;2021-05;9
27736;2019-09;9
15364;2021-02;10
19012;2020-03;7
13441;2020-05;8
11152;2021-05;10
11189;2019-04;8
29668;2020-01;3
13097;2020-07;9
10692;2020-04;9
13357;2019-07;9
32238;2021-04;8
16002;2019-07;9
28050;2020-03;8
16183;2019-10;5
15191;2019-07;9
30347;2020-12;9
19210;2020-12;9
10310;2021-04;8
26789;2020-04;10
15798;2020-02;8
16563;2019-08;8
8773;2019-05;8
20949;2020-03;10
12079;2021-05;10
32354;2019-11;8
24809;2020-03;8
29931;2020-05;9
27403;2020-05;3
13444;2020-10;10
13392;2021-06;9
30484;2020-01;9
13076;2019-04;9
15814;2020-05;9
10421;2019-03;9
29973;2019-04;9
10785;2020-07;9
32187;2019-03;2
12208;2019-10;2
7074;2019-11;8
30177;2020-11;8
31409;2019-06;10
7520;2020-11;9
7374;2019-05;9
5079;2021-03;10
12079;2019-07;9
8853;2019-05;3
20777;2020-12;8
14336;2019-12;8
6889;2020-05;9
12755;2019-03;9
14446;2019-12;3
21413;2019-10;2
21700;2019-05;10
5862;2021-05;10
19484;2020-10;2
7862;2021-04;8
25230;2020-03;10
4764;2021-05;10
10381;2020-08;3
30810;2019-10;8
19250;2021-05;10
29686;2020-06;9
11175;2020-11;2
11397;2021-04;10
32154;2020-10;8
14306;2019-09;10
15287;2020-09;8
17755;2019-12;8
12946;2019-03;9
16386;2020-02;10
10793;2019-02;10
12873;2021-04;10
13076;2019-09;10
6116;2019-08;10
11225;2021-05;8
30786;2020-01;9
29640;2020-05;10
13959;2019-05;10
14603;2021-02;9
27461;2019-05;8
8554;2020-03;9
15068;2021-04;9
15118;2020-04;9
11225;2021-02;9
30992;2021-03;9
6003;2019-08;9
19301;2019-08;10
10122;2019-12;9
7642;2021-04;9
21764;2019-11;9
11806;2019-03;10
28115;2019-08;8
8338;2020-11;8
8968;2019-05;1
21636;2020-12;10
8389;2019-09;8
28054;2020-01;10
5976;2019-01;9
25578;2019-06;10
15185;2019-05;9
13261;2021-05;8
13578;2020-10;10
6767;2020-07;9
14558;2020-08;10
11862;2020-02;9
24660;2020-11;10
18344;2019-09;8
14575;2021-04;8
12385;2021-05;6
8945;2019-08;10
27050;2020-08;9
13985;2020-02;3
13604;2019-10;10
32053;2020-03;9
27063;2019-07;10
17905;2019-10;8
16621;2019-10;9
26438;2020-10;9
14627;2020-01;10
17817;2021-03;10
14740;2020-07;9
19515;2020-09;10
7076;2019-06;10
31045;2021-04;8
18933;2019-02;8
7186;2019-04;8
11700;2019-04;10
5572;2021-04;9
16564;2019-10;8
5915;2019-10;8
7989;2021-01;10
5029;2020-09;10
28151;2021-05;10
7883;2020-08;10
13704;2019-01;10
13379;2019-09;8
29638;2020-04;9
11591;2021-04;9
14649;2019-09;8
21892;2021-04;9
13230;2019-06;8
16344;2019-09;9
10764;2019-06;8
13596;2019-11;9
12737;2021-02;9
25419;2020-10;8
11003;2019-10;8
15233;2021-02;9
7862;2021-01;9
10656;2019-10;10
27394;2020-03;10
10852;2020-12;10
24660;2020-08;9
7419;2019-04;8
12654;2021-06;8
10924;2019-02;9
27782;2020-07;2
10968;2019-07;9
29463;2020-10;8
32360;2021-02;4
10336;2019-06;9
5990;2021-03;10
31358;2021-02;8
25932;2020-01;10
29893;2021-01;9
13305;2019-04;8
20648;2019-07;10
21974;2021-01;9
15732;2020-11;9
27800;2020-05;9
27779;2019-05;10
26765;2020-12;8
10362;2019-05;9
13479;2021-01;9
16839;2019-02;10
6282;2020-08;10
8066;2020-11;9
20893;2019-08;9
11615;2020-05;1
8642;2020-10;10
32132;2020-03;10
7838;2020-11;10
14521;2021-03;8
30231;2020-02;9
30333;2020-11;10
16628;2020-09;8
10365;2021-01;10
29893;2020-11;10
26207;2020-09;4
5572;2020-05;8
32290;2019-05;10
30231;2019-12;9
19410;2020-02;10
11325;2020-12;9
12951;2019-09;8
27994;2019-03;10
13280;2020-08;7
13846;2020-01;9
15185;2019-09;8
14936;2019-11;9
30679;2020-02;8
21223;2020-10;6
12397;2020-11;10
6579;2019-06;9
14442;2019-09;8
30504;2020-01;8
13726;2021-03;9
27687;2020-07;10
12353;2020-03;10
8863;2021-04;10
14442;2020-02;9
4212;2021-03;8
4834;2019-04;8
29469;2021-01;8
13766;2019-08;9
15364;2021-04;6
27719;2020-07;9
10976;2020-04;10
16660;2021-06;8
31219;2021-04;10
27396;2020-08;7
10992;2019-03;9
14240;2019-10;8
14603;2019-08;10
25066;2021-04;7
29189;2021-06;10
14743;2021-06;8
11469;2019-11;8
27583;2019-11;8
13020;2019-04;9
29972;2019-06;9
30347;2020-11;9
21077;2019-10;8
24351;2020-08;4
14336;2020-06;9
11293;2021-02;10
15747;2021-03;9
12302;2020-03;8
8963;2020-01;10
15108;2019-05;9
30972;2019-09;1
13340;2019-07;9
8929;2021-03;8
21709;2020-04;6
12971;2019-01;10
8882;2019-01;10
11025;2019-06;8
7956;2020-12;9
16217;2021-05;10
12718;2020-03;8
31394;2020-02;8
8940;2021-04;10
18176;2021-06;9
7354;2020-04;9
26846;2021-02;9
14301;2020-07;8
13895;2021-04;9
29469;2020-09;9
8851;2019-01;10
16628;2019-08;10
10686;2021-01;9
11444;2019-12;8
16332;2020-06;10
32013;2020-08;9
8734;2019-12;10
7913;2019-03;8
27016;2019-10;9
29685;2020-03;8
31397;2019-05;8
30770;2019-10;9
8633;2020-11;8
11896;2020-11;5
32354;2019-09;9
27117;2021-02;10
30183;2020-09;10
8845;2019-11;8
32303;2020-07;10
29600;2019-08;6
10533;2019-04;9
11992;2021-06;1
13113;2021-03;10
11694;2021-02;8
28150;2020-02;8
12161;2021-06;8
13410;2020-05;9
21695;2019-10;9
32012;2020-06;8
14627;2019-05;10
15798;2019-09;10
5991;2020-03;9
30043;2019-05;8
8920;2019-07;1
10781;2021-06;8
30311;2020-10;3
28836;2021-06;9
29769;2020-06;9
14034;2021-04;8
8963;2019-01;8
13393;2020-04;9
12756;2019-11;10
11761;2021-01;9
8983;2020-06;8
16482;2020-03;9
8295;2020-10;10
11305;2020-05;8
8610;2019-01;8
25858;2019-06;8
28514;2019-11;9
29566;2019-11;9
7468;2019-04;9
29566;2020-12;5
16554;2019-02;8
32358;2019-05;8
13608;2019-06;9
13470;2020-09;8
12401;2021-04;10
10550;2019-11;9
4700;2019-06;10
12054;2020-08;8
12491;2020-05;10
21764;2020-06;9
13689;2020-03;10
6742;2019-08;9
10928;2020-05;10
7699;2019-11;8
32324;2019-06;9
32390;2019-07;9
15118;2021-06;8
7985;2021-02;9
11929;2019-11;8
28172;2020-09;6
25066;2019-03;10
12353;2021-02;9
19649;2019-05;10
7819;2020-01;8
10767;2020-11;9
15978;2021-06;8
13221;2021-03;9
11398;2020-02;6
29914;2021-02;8
30858;2021-04;9
7642;2019-09;8
31238;2019-06;7
28512;2019-04;8
7638;2019-07;8
28084;2019-12;8
19029;2020-02;10
5666;2019-01;8
11542;2020-03;9
29603;2020-11;8
11141;2019-12;10
31058;2021-01;8
29189;2021-04;10
20959;2019-08;10
32286;2019-12;6
12599;2019-04;10
23161;2019-01;9
29686;2019-06;9
12754;2019-03;10
16377;2020-10;8
29853;2020-04;8
30436;2019-07;5
14223;2020-07;10
13991;2020-11;8
5926;2019-05;8
19029;2021-02;9
21586;2019-05;9
29961;2021-01;10
11050;2019-02;10
18646;2020-04;9
12015;2019-04;2
10464;2019-04;9
14653;2020-11;10
21223;2019-08;9
29923;2019-05;10
21024;2019-01;8
14450;2019-07;10
11687;2019-08;10
15155;2021-02;9
32173;2019-12;3
8897;2020-08;8
25138;2019-09;8
7908;2020-12;9
8622;2019-06;10
29375;2020-04;8
14450;2020-05;8
29141;2019-12;9
19515;2021-01;9
30286;2021-06;8
13881;2019-05;8
29638;2020-07;10
8627;2020-07;8
11972;2020-08;8
31397;2020-11;8
15364;2020-08;10
6649;2019-04;8
11201;2020-08;10
25419;2019-08;9
25759;2020-08;8
10786;2020-04;2
8817;2019-12;8
13636;2019-02;9
16613;2020-07;9
8652;2021-06;9
14898;2021-06;9
8840;2019-04;8
25765;2021-06;6
5083;2020-08;2
8936;2020-10;8
13566;2021-04;8
29743;2021-01;9
27568;2020-03;8
8082;2019-11;8
15024;2019-08;8
15231;2021-04;5
12401;2020-06;6
8721;2020-09;8
19484;2020-12;10
27460;2021-01;10
14799;2020-04;10
30532;2019-11;10
31242;2021-02;10
10421;2019-09;9
19550;2020-02;9
11714;2021-01;8
26330;2021-01;8
17875;2019-11;10
30004;2019-07;8
5137;2019-02;9
15337;2020-07;10
11721;2019-06;8
12486;2019-03;10
15433;2019-04;9
7874;2020-07;8
8610;2021-05;10
15814;2019-09;9
21950;2021-04;1
6072;2020-11;10
25383;2020-05;10
8041;2021-04;8
10464;2020-04;10
11515;2019-07;9
10852;2019-08;8
16165;2020-01;10
28500;2019-09;8
18033;2020-04;10
13820;2020-12;10
27637;2021-05;9
27455;2021-04;10
21583;2020-07;10
14762;2019-10;10
16658;2019-10;9
32300;2019-12;10
4212;2019-07;8
8338;2020-10;9
26669;2019-06;9
20000;2019-12;9
8897;2020-12;9
10563;2019-08;10
7376;2019-07;9
10045;2020-04;10
5675;2019-07;10
26068;2021-02;8
12005;2021-03;9
7076;2019-09;7
27439;2019-12;10
16533;2020-06;8
8662;2019-04;9
24030;2021-04;8
26789;2020-03;8
5842;2020-08;10
10948;2020-02;10
31256;2019-08;9
12308;2021-05;8
28181;2021-04;10
7875;2019-05;7
15307;2020-07;8
28433;2019-10;8
29853;2019-11;10
28519;2021-02;4
8847;2019-01;10
19542;2020-02;10
7378;2019-04;10
8843;2019-04;9
11700;2019-12;8
7546;2019-04;9
6146;2020-03;8
30496;2019-06;10
5267;2019-10;9
10527;2020-11;10
30043;2021-03;3
26669;2020-01;10
7507;2019-07;9
27383;2019-12;9
13561;2020-08;8
28754;2020-02;10
7648;2020-11;9
31358;2021-03;9
15787;2021-01;9
30196;2019-10;8
27244;2019-02;9
13020;2020-01;9
25041;2020-06;9
32238;2021-01;10
10692;2020-12;9
14575;2019-12;10
14627;2021-04;10
30691;2020-07;10
29141;2020-07;9
23943;2019-10;9
27383;2021-06;8
10237;2019-11;8
10122;2019-06;10
5572;2019-01;5
12656;2019-01;9
29542;2020-04;9
11267;2020-05;8
32270;2021-02;9
11122;2019-02;9
16389;2020-02;8
32354;2019-08;8
14435;2021-04;10
11211;2019-07;8
15571;2021-05;9
21769;2021-02;10
8608;2019-08;8
22027;2019-11;8
29499;2020-01;2
7353;2020-10;9
13537;2019-05;9
13746;2019-09;4
13846;2020-06;8
7822;2019-08;9
7419;2019-03;9
20887;2020-12;6
7901;2020-04;9
29600;2019-10;8
18811;2020-01;10
25765;2020-05;8
8634;2020-08;9
10122;2019-07;10
26062;2020-04;10
14898;2019-10;10
4593;2021-05;8
8840;2019-09;3
16006;2020-09;10
8041;2020-04;10
19382;2020-12;10
11233;2021-04;2
24543;2021-03;10
8922;2019-09;5
16002;2019-05;10
21261;2020-07;2
24066;2020-06;8
28981;2020-03;10
10381;2019-03;10
27918;2020-05;9
16155;2020-05;9
31286;2021-05;9
11890;2021-02;6
5267;2020-11;10
5284;2021-06;9
31162;2020-06;8
6615;2019-05;10
7631;2020-07;10
13197;2019-08;8
5783;2019-08;10
7186;2019-08;8
13113;2019-11;8
28421;2021-04;10
13793;2019-10;10
12335;2019-03;8
15075;2019-10;8
18568;2021-04;8
13356;2019-09;9
30822;2019-06;8
6358;2019-01;9
6132;2020-06;9
29563;2019-04;9
10504;2020-01;10
13802;2019-06;8
6298;2019-08;8
28568;2020-06;8
13857;2021-03;10
8773;2020-10;9
11295;2021-01;6
14168;2019-05;10
8628;2021-02;6
10057;2020-07;9
32358;2020-04;4
32429;2020-08;10
7917;2020-01;8
20955;2021-03;2
13715;2019-06;10
23362;2020-01;9
13608;2020-02;9
13022;2019-08;8
18814;2021-03;9
26729;2020-06;10
20777;2019-12;10
12308;2019-12;10
30002;2020-03;8
13479;2019-05;9
13342;2019-11;8
8534;2020-11;9
7899;2020-01;8
4985;2019-11;8
25084;2020-10;9
29442;2021-03;9
14330;2020-01;10
11118;2020-01;10
19635;2020-07;8
7861;2020-12;10
11835;2019-11;8
29893;2021-05;10
24016;2019-12;2
29140;2019-12;8
7679;2020-03;10
13698;2019-10;8
21636;2020-11;6
27011;2019-12;9
14775;2021-05;3
21157;2021-03;10
10045;2019-08;8
27464;2020-08;8
6027;2019-07;10
24810;2019-07;8
16174;2020-01;10
16628;2019-11;8
15808;2021-01;9
31215;2020-10;9
15287;2019-03;8
13619;2020-07;10
30557;2020-07;9
15751;2019-10;10
15732;2019-08;10
14744;2020-11;9
32346;2020-03;10
25584;2020-04;8
29434;2020-10;8
30679;2021-02;8
27011;2019-08;10
29469;2021-03;10
27568;2020-07;8
5902;2020-07;8
25645;2019-05;10
24267;2019-03;9
7186;2019-11;9
13689;2019-09;9
23943;2020-04;9
14261;2020-05;8
29709;2020-11;8
13393;2021-02;9
11325;2021-05;9
31045;2021-05;8
15147;2021-02;9
14179;2020-10;9
11048;2019-10;8
10786;2020-01;10
15155;2020-08;9
26472;2019-09;8
8613;2020-05;9
14008;2019-05;9
21183;2020-04;10
5926;2020-07;8
15261;2020-12;10
29466;2019-11;8
27266;2019-04;10
10805;2021-06;8
28330;2019-06;7
10924;2021-04;9
13755;2020-03;8
5332;2021-05;6
12654;2019-06;9
25765;2020-06;9
6795;2019-06;8
18811;2019-06;5
14959;2021-03;9
24810;2019-05;8
31349;2019-06;9
31291;2019-10;10
29039;2020-01;8
11124;2019-05;8
6116;2019-02;10
14528;2020-09;1
19947;2019-11;10
19283;2021-03;6
8897;2021-03;5
16786;2019-09;4
7673;2019-11;3
12557;2019-12;8
12716;2019-03;9
18808;2021-02;9
10943;2020-04;9
25727;2019-04;10
6984;2020-04;8
13245;2020-09;9
6649;2019-06;1
14309;2019-02;9
10940;2020-01;8
18641;2021-01;8
21198;2021-02;10
14407;2019-12;10
13197;2020-04;8
8692;2019-10;8
7353;2020-04;9
28474;2021-05;8
29907;2021-06;9
14450;2019-02;9
26669;2020-06;9
8404;2019-11;9
25765;2020-07;9
29082;2020-01;10
24543;2020-05;9
25374;2020-02;10
30687;2020-02;10
16006;2019-08;8
21417;2019-02;9
6742;2019-04;10
25330;2020-11;8
13619;2020-08;9
14563;2019-08;10
11591;2019-10;10
25048;2021-01;8
21277;2019-09;9
15233;2020-05;2
21695;2019-07;3
13897;2019-02;10
14446;2020-01;8
27016;2019-08;9
15082;2020-07;10
11984;2020-04;8
20942;2020-07;10
8423;2019-03;3
5867;2019-02;10
29251;2020-06;8
19210;2020-06;8
8625;2020-02;9
32187;2019-11;9
12034;2020-04;10
8106;2019-02;8
13778;2019-10;9
